id,address,Latitude,Longitude
0,"Green St & Hancock St, Cambridge, MA",42.368378,-71.110947
1,"AMES ST & AMHERST ST, Cambridge, MA",42.359967,-71.087654
2,"ALBANY ST & PACIFIC ST, Cambridge, MA",42.361022,-71.095599
3,"JFK ST & BRATTLE ST, Cambridge, MA",42.369816,-71.122453
4,"0 JFK ST, Cambridge, MA",42.373457,-71.119483
5,"PALERMO ST & WILLOW ST, Cambridge, MA",42.374094,-71.091465
6,"MASSACHUSETTS AVE & WESTERN AVE, Cambridge, MA",42.364827,-71.109892
7,"OTIS ST & SEVENTH ST, Cambridge, MA",42.370374,-71.085856
8,"CAMBRIDGE ST & HUNTING ST, Cambridge, MA",42.372475,-71.091205
9,"BISHOP ALLEN DR & COLUMBIA ST, Cambridge, MA",42.372332,-71.094818
10,"100 JFK ST, Cambridge, MA",42.369816,-71.122453
11,"MIDDLESEX ST & PEMBERTON ST, Cambridge, MA",42.390603,-71.130399
12,"Galileo Galilei Way & Vassar St, Cambridge, MA",42.360726,-71.093779
13,"100 JFK St, Cambridge, MA",42.369816,-71.122453
14,"BISHOP ALLEN DR & Norfolk St, Cambridge, MA",42.367574,-71.099657
15,"RICHDALE AVE & WALDEN ST, Cambridge, MA",42.387402,-71.127558
16,"0 Jefferson Park, Cambridge, MA",42.393766,-71.136997
17,"0 Hawthorne St, Cambridge, MA",42.376229,-71.125646
18,"LINDEN ST & Mount Auburn St, Cambridge, MA",42.372444,-71.11733
19,"Huron Ave & Standish St, Cambridge, MA",42.38151,-71.13217
20,"CHARLES ST & FIRST ST, Cambridge, MA",42.361875,-71.07893
21,"RINDGE AVE & SHERMAN ST, Cambridge, MA",42.392586,-71.125266
22,"HARVARD ST & WINDSOR ST, Cambridge, MA",42.368555,-71.102469
23,"100 Auburn Park, Cambridge, MA",42.362497,-71.102769
24,"EIGHTH ST & SPRING ST, Cambridge, MA",42.369766,-71.086613
25,"BRATTLE ST & FAYERWEATHER ST, Cambridge, MA",42.376826,-71.137281
26,"ARROW ST & MASSACHUSETTS AVE, Cambridge, MA",42.370972,-71.114245
27,"BISHOP ALLEN DR & NORFOLK ST, Cambridge, MA",42.367574,-71.099657
28,"CAMBRIDGE ST & EVERETEZE WAY, Cambridge, MA",42.373014,-71.095321
29,"DUNSTER ST & Massachusetts Ave, Cambridge, MA",42.371747,-71.119633
30,"DUNSTER ST & MASSACHUSETTS AVE, Cambridge, MA",42.371747,-71.119633
31,"100 Gerrys Landing Rd, Cambridge, MA",42.373706,-71.135325
32,"TUDOR ST & Sidney St, Cambridge, MA",42.360698,-71.104513
33,"BROOKLINE ST & MASSACHUSETTS AVE, Cambridge, MA",42.363202,-71.102127
34,"FRANKLIN ST & MAGAZINE ST, Cambridge, MA",42.368564,-71.113512
35,"MAGAZINE ST & PUTNAM AVE, Cambridge, MA",42.357712,-71.10862
36,"HARDING ST & JEFFERSON ST, Cambridge, MA",42.373207,-71.090477
37,"Harvard St & Moore St, Cambridge, MA",42.366357,-71.093544
38,"JFK ST & Mount Auburn St, Cambridge, MA",42.369816,-71.122453
39,"ATHENAEUM ST & THIRD ST, Cambridge, MA",42.365106,-71.082758
40,"0 JACKSON CIR, Cambridge, MA",42.392983,-71.135038
41,"CENTRAL SQ & WESTERN AVE, Cambridge, MA",42.365614,-71.10405
42,"FRANKLIN ST & WESTERN AVE, Cambridge, MA",42.368564,-71.113512
43,"HASKELL ST & PEMBERTON ST, Cambridge, MA",42.393439,-71.12655
44,"MASSACHUSETTS AVE & TEMPLE ST, Cambridge, MA",42.366772,-71.103835
45,"FRANKLIN ST & PEARL ST, Cambridge, MA",42.3606,-71.107085
46,"BROOKLINE ST & PILGRIM ST, Cambridge, MA",42.360845,-71.101889
47,"AUBURN ST & BROOKLINE ST, Cambridge, MA",42.363136,-71.104306
48,"300 MONSIGNOR OBRIEN HWY, Cambridge, MA",42.37368,-71.08209
49,"BRATTLE ST & Hawthorne St, Cambridge, MA",42.376826,-71.137281
