id,address
0,"Green St & Hancock St, Cambridge, MA"
1,"AMES ST & AMHERST ST, Cambridge, MA"
2,"ALBANY ST & PACIFIC ST, Cambridge, MA"
3,"JFK ST & BRATTLE ST, Cambridge, MA"
4,"0 JFK ST, Cambridge, MA"
5,"PALERMO ST & WILLOW ST, Cambridge, MA"
6,"MASSACHUSETTS AVE & WESTERN AVE, Cambridge, MA"
7,"OTIS ST & SEVENTH ST, Cambridge, MA"
8,"CAMBRIDGE ST & HUNTING ST, Cambridge, MA"
9,"BISHOP ALLEN DR & COLUMBIA ST, Cambridge, MA"
10,"100 JFK ST, Cambridge, MA"
11,"MIDDLESEX ST & PEMBERTON ST, Cambridge, MA"
12,"Galileo Galilei Way & Vassar St, Cambridge, MA"
13,"100 JFK St, Cambridge, MA"
14,"BISHOP ALLEN DR & Norfolk St, Cambridge, MA"
15,"RICHDALE AVE & WALDEN ST, Cambridge, MA"
16,"0 Jefferson Park, Cambridge, MA"
17,"0 Hawthorne St, Cambridge, MA"
18,"LINDEN ST & Mount Auburn St, Cambridge, MA"
19,"Huron Ave & Standish St, Cambridge, MA"
20,"CHARLES ST & FIRST ST, Cambridge, MA"
21,"RINDGE AVE & SHERMAN ST, Cambridge, MA"
22,"HARVARD ST & WINDSOR ST, Cambridge, MA"
23,"100 Auburn Park, Cambridge, MA"
24,"EIGHTH ST & SPRING ST, Cambridge, MA"
25,"BRATTLE ST & FAYERWEATHER ST, Cambridge, MA"
26,"ARROW ST & MASSACHUSETTS AVE, Cambridge, MA"
27,"BISHOP ALLEN DR & NORFOLK ST, Cambridge, MA"
28,"CAMBRIDGE ST & EVERETEZE WAY, Cambridge, MA"
29,"DUNSTER ST & Massachusetts Ave, Cambridge, MA"
30,"DUNSTER ST & MASSACHUSETTS AVE, Cambridge, MA"
31,"100 Gerrys Landing Rd, Cambridge, MA"
32,"TUDOR ST & Sidney St, Cambridge, MA"
33,"BROOKLINE ST & MASSACHUSETTS AVE, Cambridge, MA"
34,"FRANKLIN ST & MAGAZINE ST, Cambridge, MA"
35,"MAGAZINE ST & PUTNAM AVE, Cambridge, MA"
36,"HARDING ST & JEFFERSON ST, Cambridge, MA"
37,"Harvard St & Moore St, Cambridge, MA"
38,"JFK ST & Mount Auburn St, Cambridge, MA"
39,"ATHENAEUM ST & THIRD ST, Cambridge, MA"
40,"0 JACKSON CIR, Cambridge, MA"
41,"CENTRAL SQ & WESTERN AVE, Cambridge, MA"
42,"FRANKLIN ST & WESTERN AVE, Cambridge, MA"
43,"HASKELL ST & PEMBERTON ST, Cambridge, MA"
44,"MASSACHUSETTS AVE & TEMPLE ST, Cambridge, MA"
45,"FRANKLIN ST & PEARL ST, Cambridge, MA"
46,"BROOKLINE ST & PILGRIM ST, Cambridge, MA"
47,"AUBURN ST & BROOKLINE ST, Cambridge, MA"
48,"300 MONSIGNOR OBRIEN HWY, Cambridge, MA"
49,"BRATTLE ST & Hawthorne St, Cambridge, MA"
